12.5 4.50866e-06 3.76563e-06 1.2535e-05 1.07154e-05 0.363548 0.347042
17.5 6.43254e-07 5.53013e-07 1.61212e-06 1.40101e-06 0.402602 0.390541
22.5 1.22967e-07 1.08193e-07 2.87893e-07 2.49438e-07 0.438818 0.422548
27.5 2.72877e-08 2.36675e-08 6.0472e-08 5.20142e-08 0.460359 0.445941
32.5 6.34452e-09 5.54155e-09 1.35704e-08 1.16003e-08 0.485216 0.460753
37.5 1.52049e-09 1.31771e-09 3.19684e-09 2.74065e-09 0.490534 0.465338
42.5 3.57064e-10 3.0676e-10 7.43415e-10 6.24289e-10 0.503265 0.46596
47.5 8.65991e-11 7.39849e-11 1.75242e-10 1.52919e-10 0.507711 0.469138
52.5 1.99864e-11 1.54461e-11 4.22483e-11 3.449e-11 0.493857 0.426823
57.5 4.0456e-12 3.52406e-12 8.03059e-12 7.16981e-12 0.534351 0.458483
