12.5 3.27479e-06 2.71842e-06 1.27045e-05 4.93035e-08 0.257927 0.213837
17.5 3.66239e-07 3.09902e-07 1.36579e-06 4.67916e-09 0.26829 0.226783
22.5 5.64501e-08 4.84045e-08 2.11449e-07 8.53221e-10 0.267155 0.228773
27.5 1.06698e-08 8.94753e-09 3.89205e-08 1.72958e-10 0.274318 0.229742
32.5 2.1776e-09 1.8206e-09 8.04929e-09 4.69332e-11 0.270764 0.225999
37.5 4.43742e-10 3.73689e-10 1.74206e-09 1.35151e-11 0.254977 0.214271
42.5 9.44741e-11 7.57647e-11 3.785e-10 4.16942e-12 0.250006 0.199811
47.5 2.30002e-11 1.77015e-11 8.34057e-11 1.28746e-12 0.276303 0.211845
52.5 4.95211e-12 2.86368e-12 1.76183e-11 4.52226e-13 0.281891 0.161873
57.5 8.67091e-13 5.59547e-13 3.42747e-12 1.53225e-13 0.254812 0.162025
