Start_Time Number_of_Events Sampled_Luminosity Prescale Livetime
6905496 11796 0.001966 56.31839752 0.872442312061898
6905850 68659 0.0114431666666667 54.67360306 0.94887312582613
6907610 13550 0.00225833333333333 47.08039856 0.842959919138001
6908017 13631 0.00227183333333333 45.99119949 0.932173318163904
6908402 41372 0.00689533333333333 44.39680099 0.950357296438834
6920213 75154 0.0125256666666667 174.91679382 0.92916005417268
6922311 70473 0.0117455 116.54760742 0.929736297598312
6924201 69810 0.011635 89.57320404 0.931927995631402
6926072 71741 0.0119568333333333 71.66360474 0.940479450914487
6927953 73414 0.0122356666666667 58.81600189 0.946477005314771
6929834 69016 0.0115026666666667 49.87919998 0.951670251962282
6931573 67136 0.0111893333333333 43.26880264 0.953334040065129
6936616 49415 0.00823583333333333 200.36759949 0.921576568404872
6938184 63526 0.0105876666666667 139.99600220 0.927043654744023
6939917 46944 0.007824 105.49079895 0.922845476077017
6941212 43929 0.0073215 88.11039734 0.925904821777058
6942373 57893 0.00964883333333333 76.41400146 0.936577600842199
6943886 70518 0.011753 65.02200317 0.915544720369396
6945795 78350 0.0130583333333333 53.84960556 0.94675824260907
6947748 31237 0.00520616666666667 47.81159973 0.939696181058068
6949597 29631 0.0049385 43.38999939 0.943155049888895
6958114 69600 0.0116 192.34640503 0.922086175903473
6960311 3288 0.000548 123.52600861 0.368339783720775
6961228 53870 0.00897833333333333 107.96879578 0.896969541819546
6962651 36559 0.00609316666666667 91.60120392 0.913521409933423
6963563 52450 0.00874166666666667 84.06720734 0.930260349042157
6964861 75777 0.0126295 75.72399902 0.915902152143963
6966740 28206 0.004701 65.71040344 0.831094396747126
6967933 37752 0.006292 60.08119965 0.929090639492541
6968878 60864 0.010144 56.95200348 0.930604586178855
6970312 59487 0.0099145 52.23600006 0.946513964884235
6971821 22499 0.00374983333333333 47.93800354 0.923345499491555
6972439 80724 0.013454 45.96080017 0.948954546024302
6979701 73 1.21666666666667e-05 244.89399719 0.190178456667772
6979931 1472 0.000245333333333333 227.28240967 0.456873779246855
6980191 55537 0.00925616666666667 206.83679199 0.891929526082049
6981778 54931 0.00915516666666667 152.89601135 0.880867620050658
6983438 56340 0.00939 122.06639862 0.890217592033472
6985111 72529 0.0120881666666667 102.39080048 0.926763323744483
6986995 30003 0.0050005 86.48280334 0.907701129774966
6987802 1011 0.0001685 81.14720154 0.706099703713912
6987926 89054 0.0148423333333333 80.11239624 0.93521847179273
6990190 33431 0.00557183333333333 68.63719940 0.930252131487665
6991070 41359 0.00689316666666667 64.94360352 0.934759534651202
6992128 53499 0.0089165 60.88999939 0.937786148450138
6997446 69531 0.0115885 197.33320618 0.881268932527387
6999393 20613 0.0034355 134.96520996 0.927157175832885
7000313 74396 0.0123993333333333 119.32080078 0.915712921637307
7002216 69441 0.0115735 96.25080109 0.946168367184431
7003921 77210 0.0128683333333333 82.03959656 0.933028401249578
7005836 80150 0.0133583333333333 70.20559692 0.937668825747666
7007751 79302 0.013217 61.54720306 0.94096652701274
7009622 55892 0.00931533333333333 54.31839752 0.9395076518746
7014369 69922 0.0116536666666667 177.65721130 0.873763476059704
7016217 71671 0.0119451666666667 124.05921173 0.912504480953906
7018003 75811 0.0126351666666667 97.78760529 0.923185217609505
7019850 77959 0.0129931666666667 81.84400177 0.933922338134677
7021724 79180 0.0131966666666667 68.95200348 0.93351943223022
7023605 76701 0.0127835 60.13479996 0.939580967700273
7025403 67075 0.0111791666666667 53.31200027 0.939987619963947
7026994 958 0.000159666666666667 48.26039886 0.680351733670558
7027073 31876 0.00531266666666667 47.80160141 0.937128046665305
7027904 46714 0.00778566666666667 45.85760117 0.945083884607816
7034627 3122 0.000520333333333333 143.47241211 0.708517427007155
7034833 36755 0.00612583333333333 138.25399780 0.857104615028052
7036257 35374 0.00589566666666667 116.63280487 0.880597116875122
7037207 72684 0.012114 105.88679504 0.907102546785873
7039144 75086 0.0125143333333333 88.86560822 0.925275125530809
7041471 78813 0.0131355 74.96920776 0.903677901334177
7043467 50717 0.00845283333333333 65.64800262 0.932030343616597
7044701 70627 0.0117711666666667 60.76919937 0.938024734351613
7052543 70070 0.0116783333333333 132.44841003 0.897111084649529
7054598 59732 0.00995533333333333 100.98120117 0.908210589489487
7056123 75453 0.0125755 85.90799713 0.931638665088012
7058004 13132 0.00218866666666667 72.59679413 0.769944711638628
7058767 80450 0.0134083333333333 68.41200256 0.937355455088143
7060717 68269 0.0113781666666667 58.98600006 0.908281689403829
7062409 119696 0.0199493333333333 52.35680008 0.947897687970303
7065180 9700 0.00161666666666667 45.17360306 0.914153390070978
7090117 80770 0.0134616666666667 99.18039703 0.910797834921643
7091979 79660 0.0132766666666667 84.23120117 0.893166147871832
7093780 27184 0.00453066666666667 74.36720276 0.914749129940887
7094640 88506 0.014751 70.55920410 0.926621943322866
7096555 91157 0.0151928333333333 63.08839798 0.928534892807667
7098452 93535 0.0155891666666667 57.45720291 0.932563794592707
7100335 58965 0.0098275 52.87760162 0.936018921063463
7107653 54805 0.00913416666666667 214.15240479 0.811019867604586
7109289 18335 0.00305583333333333 148.52720642 0.715135512705711
7110070 3981 0.0006635 134.30400085 0.807763560315753
7110255 71973 0.0119955 130.88320923 0.895568395165391
7112118 63810 0.010635 109.56560516 0.890092503673771
7114048 64205 0.0107008333333333 93.86400604 0.923359400058207
7115952 73323 0.0122205 81.77079773 0.924752129807307
7117797 3070 0.000511666666666667 74.97360229 0.851677333145791
7118014 32091 0.0053485 74.10120392 0.922584049303493
7118810 67528 0.0112546666666667 70.67639923 0.932047201686288
7120650 27524 0.00458733333333333 64.95480347 0.92525326629578
7121502 1798 0.000299666666666667 62.41680145 0.716230707364712
7121752 917 0.000152833333333333 61.73720169 0.660306234390682
7133319 1419 0.0002365 248.96279907 0.337054040187887
7133726 53952 0.008992 214.41400146 0.79809387053271
7135406 62807 0.0104678333333333 156.09240723 0.871395367172672
7137417 62378 0.0103963333333333 123.69639587 0.911090108526605
7139013 71353 0.0118921666666667 107.74160004 0.907880256117652
7140769 74198 0.0123663333333333 94.70040131 0.90660003092248
7142607 83395 0.0138991666666667 84.62999725 0.922768029634298
7144474 84452 0.0140753333333333 79.91159821 0.921746243517018
7146338 48069 0.0080115 81.15000153 0.918951843548781
7156432 27229 0.00453816666666667 224.20959473 0.696622563124237
7157493 21280 0.00354666666666667 164.39842224 0.832629621404648
7158178 70538 0.0117563333333333 147.36999512 0.893923838972333
7160248 69922 0.0116536666666667 113.60879517 0.919925773705927
7162246 87843 0.0146405 93.25560760 0.93101743053127
7164592 88474 0.0147456666666667 77.72679901 0.930085734583754
7166799 68319 0.0113865 70.27239990 0.931583986240346
7168412 82996 0.0138326666666667 64.77639771 0.930640738773254
7170302 52860 0.00881 59.91720200 0.930985174207688
7175105 40005 0.0066675 208.57240295 0.814742717857394
7176332 67399 0.0112331666666667 157.62721252 0.860851502009042
7178277 71157 0.0118595 123.29360199 0.89152968073419
7180170 73705 0.0122841666666667 104.23440552 0.904261745021738
7182143 77420 0.0129033333333333 90.61639404 0.925220349185093
7184025 77797 0.0129661666666667 81.23400116 0.911094604213918
7185904 80608 0.0134346666666667 74.07839966 0.926446418042167
7187765 49941 0.0083235 68.10360718 0.925427682610231
7198831 47290 0.00788166666666667 163.06559753 0.876119094528558
7200218 70311 0.0117185 123.15479279 0.909604386828631
