12.5 4.50866e-06 3.76563e-06 1.76087e-05 1.50698e-05 0.259085 0.24625
17.5 6.43254e-07 5.53013e-07 2.10626e-06 1.8129e-06 0.309058 0.301736
22.5 1.22967e-07 1.08193e-07 3.56261e-07 3.11562e-07 0.351313 0.34148
27.5 2.72877e-08 2.36675e-08 7.32533e-08 6.30566e-08 0.379589 0.368169
32.5 6.34452e-09 5.54155e-09 1.643e-08 1.37091e-08 0.410554 0.380588
37.5 1.52049e-09 1.31771e-09 3.84131e-09 3.23286e-09 0.415784 0.387383
42.5 3.57064e-10 3.0676e-10 8.62331e-10 7.60064e-10 0.42254 0.390323
47.5 8.65991e-11 7.39849e-11 2.07931e-10 1.75814e-10 0.436267 0.401289
52.5 1.99864e-11 1.54461e-11 5.34797e-11 4.05451e-11 0.401864 0.349387
57.5 4.0456e-12 3.52406e-12 1.03367e-11 9.1758e-12 0.417027 0.357619
